City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Kungurtug,RU,2020-12-23 09:23:31,50.6,97.52,2.95,87,100,1.39
229,Beloha,MG,2020-12-23 09:23:31,-25.17,45.05,102.88,23,0,5.28
230,Erenhot,CN,2020-12-23 09:21:53,43.65,111.98,5.88,90,43,10.87
231,Victor Harbor,AU,2020-12-23 09:23:31,-35.57,138.62,62.01,69,1,3.0
232,Sinnamary,GF,2020-12-23 09:23:31,5.38,-52.95,76.75,87,90,9.48
233,Rafaela,AR,2020-12-23 09:23:32,-31.25,-61.49,66.0,46,0,1.01
234,Linxia,CN,2020-12-23 09:23:32,35.6,103.21,29.1,78,0,2.39
235,Kenai,US,2020-12-23 09:21:32,60.55,-151.26,33.8,100,90,5.82
236,Sur,OM,2020-12-23 09:23:32,22.57,59.53,75.54,49,0,13.4
237,Udpura,IN,2020-12-23 09:23:32,24.72,75.97,77.99,19,0,5.1
238,Broome,US,2020-12-23 09:23:32,42.25,-75.83,28.4,68,90,8.05
239,Wanlaweyn,SO,2020-12-23 09:23:33,2.62,44.89,92.01,30,40,21.41
240,Omaruru,NA,2020-12-23 09:23:33,-21.43,15.93,87.62,20,0,7.72
241,Mount Isa,AU,2020-12-23 09:23:04,-20.73,139.5,84.2,66,90,14.99
242,Virginia Beach,US,2020-12-23 09:19:17,36.85,-75.98,33.8,80,1,8.97
243,Brae,GB,2020-12-23 09:21:27,60.4,-1.35,39.2,69,40,12.75
244,Isangel,VU,2020-12-23 09:23:33,-19.55,169.27,78.98,79,12,5.46
245,Amapa,BR,2020-12-23 09:23:33,1.0,-52.0,70.9,98,85,1.86
246,Whitehorse,CA,2020-12-23 09:23:33,60.72,-135.05,28.4,74,75,18.34
247,Saint George,US,2020-12-23 09:23:34,37.1,-113.58,39.0,32,1,4.7
248,Bambanglipuro,ID,2020-12-23 09:23:18,-7.95,110.28,83.14,67,11,7.65
249,Tromso,NO,2020-12-23 09:23:34,69.65,18.96,37.4,59,0,34.45
250,San Patricio,US,2020-12-23 09:23:34,28.02,-97.52,66.0,100,75,8.05
251,San Cristobal,VE,2020-12-23 09:23:34,7.77,-72.22,64.51,89,49,1.97
252,Abnub,EG,2020-12-23 09:23:35,27.27,31.15,68.94,47,100,14.09
253,Andros Town,BS,2020-12-23 09:23:35,24.7,-77.77,71.6,60,20,8.05
254,Liverpool,GB,2020-12-23 09:23:35,53.41,-2.98,42.8,93,90,20.8
255,Akdepe,TM,2020-12-23 09:23:35,42.06,59.38,28.4,53,0,4.7
256,Sao Filipe,CV,2020-12-23 09:23:36,14.9,-24.5,73.51,68,20,9.15
257,Northam,GB,2020-12-23 09:23:36,51.03,-4.22,53.01,96,42,5.01
258,Ankola,IN,2020-12-23 09:23:36,14.67,74.3,89.02,40,34,7.14
259,Killin,US,2020-12-23 09:23:36,33.61,-91.74,51.8,71,90,5.82
260,Lamu,KE,2020-12-23 09:23:36,-2.27,40.9,91.4,59,75,6.93
261,Jalu,LY,2020-12-23 09:21:58,29.03,21.55,62.15,56,0,7.74
262,Kalininsk,RU,2020-12-23 09:23:36,51.5,44.48,9.34,93,0,2.51
263,Phalodi,IN,2020-12-23 09:23:37,27.13,72.37,78.4,16,0,10.2
264,Tome,CL,2020-12-23 09:23:37,-36.62,-72.95,55.4,87,0,11.41
265,Kieta,PG,2020-12-23 09:23:37,-6.22,155.63,80.94,77,100,2.86
266,Mareeba,AU,2020-12-23 09:23:37,-17.0,145.43,86.0,70,84,8.05
267,Camacupa,AO,2020-12-23 09:23:37,-12.02,17.48,71.96,85,93,5.73
268,Tulun,RU,2020-12-23 09:21:42,54.56,100.58,2.19,93,100,3.11
269,General Roca,AR,2020-12-23 09:23:37,-39.03,-67.58,68.0,40,0,5.82
270,Ostersund,SE,2020-12-23 09:23:37,63.18,14.64,30.0,100,90,3.36
271,Omsukchan,RU,2020-12-23 09:23:38,62.53,155.8,-39.69,75,99,4.9
272,Tura,IN,2020-12-23 09:22:49,25.52,90.22,72.84,51,2,3.13
273,Souillac,MU,2020-12-23 09:23:38,-20.52,57.52,80.6,78,75,17.22
274,Nara,JP,2020-12-23 09:23:38,34.69,135.8,50.0,53,75,3.36
275,Port Hedland,AU,2020-12-23 09:23:21,-20.32,118.57,89.6,59,100,13.87
276,Albina,SR,2020-12-23 09:23:38,5.5,-54.05,72.23,98,100,2.48
277,Airai,TL,2020-12-23 09:23:38,-8.93,125.41,62.67,100,100,0.13
278,Umtata,ZA,2020-12-23 09:23:38,-31.59,28.78,80.6,51,20,9.17
279,Hervey Bay,AU,2020-12-23 09:23:39,-25.3,152.85,79.0,74,34,5.99
280,Ossora,RU,2020-12-23 09:23:39,59.24,163.07,-13.18,79,0,5.66
281,Kruisfontein,ZA,2020-12-23 09:23:39,-34.0,24.73,73.0,81,64,8.99
282,Divnomorskoye,RU,2020-12-23 09:23:39,44.5,38.14,35.56,84,97,11.54
283,Necochea,AR,2020-12-23 09:23:40,-38.55,-58.74,68.0,60,0,16.35
284,Canyon,US,2020-12-23 09:23:40,34.98,-101.92,48.2,24,1,19.46
285,Shimanovsk,RU,2020-12-23 09:21:52,52.0,127.7,-8.28,89,2,5.39
286,Maceio,BR,2020-12-23 09:23:40,-9.67,-35.74,73.4,94,75,3.36
287,Singapore,SG,2020-12-23 09:22:23,1.29,103.85,89.6,70,75,8.05
288,Cidreira,BR,2020-12-23 09:23:40,-30.18,-50.21,66.87,75,0,6.53
289,Hasaki,JP,2020-12-23 09:19:14,35.73,140.83,48.2,60,20,3.36
290,Fortuna,US,2020-12-23 09:23:41,40.6,-124.16,33.8,100,75,5.82
291,Nazas,MX,2020-12-23 09:23:41,25.23,-104.13,51.55,41,34,4.29
292,Taksimo,RU,2020-12-23 09:23:41,56.34,114.88,-6.79,87,100,0.36
293,Sayyan,YE,2020-12-23 09:23:41,15.17,44.32,64.6,33,1,3.49
294,Bull Savanna,JM,2020-12-23 09:23:42,17.89,-77.59,70.65,85,1,6.13
295,Flinders,AU,2020-12-23 09:23:42,-34.58,150.86,68.0,72,39,6.13
296,Orlik,RU,2020-12-23 09:23:42,52.52,99.83,-4.5,82,95,5.17
297,Asau,RO,2020-12-23 09:23:42,46.43,26.4,39.0,100,75,11.41
298,Moyale,KE,2020-12-23 09:23:42,3.52,39.06,82.62,38,93,14.45
299,Andreapol,RU,2020-12-23 09:23:43,56.65,32.27,26.64,97,100,13.09
300,Elat,IL,2020-12-23 09:21:45,29.56,34.95,62.6,59,0,6.93
301,Wilmington,US,2020-12-23 09:20:23,34.23,-77.94,39.2,86,1,5.46
302,San Pedro De Ycuamandiyu,PY,2020-12-23 09:23:43,-24.09,-57.08,64.31,68,11,3.15
303,Ust-Tsilma,RU,2020-12-23 09:21:38,65.44,52.15,-8.3,89,31,5.79
304,Ingham,US,2020-12-23 09:23:44,42.6,-84.38,36.0,80,40,12.75
