City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Byron Bay,AU,-28.65,153.62,75.2,73,100,16.11,overcast clouds
193,Jaguaribe,BR,-5.89,-38.62,82.33,54,14,11.23,few clouds
194,Tanout,NE,14.97,8.89,77.32,17,0,12.59,clear sky
195,Nortelandia,BR,-14.45,-56.8,74.14,90,100,2.59,overcast clouds
196,Ruteng,ID,-8.61,120.47,66.2,100,100,1.25,moderate rain
197,Naze,JP,28.37,129.48,68.0,72,75,13.87,broken clouds
198,Varhaug,NO,58.61,5.65,39.2,86,75,4.7,broken clouds
199,Emirdag,TR,39.02,31.15,51.8,51,100,6.62,overcast clouds
200,Gubkinskiy,RU,64.43,76.5,-14.55,88,100,23.6,light snow
201,Troitsko-Pechorsk,RU,62.71,56.2,-15.2,88,100,2.46,overcast clouds
202,Zhezkazgan,KZ,47.8,67.71,4.37,89,80,5.3,broken clouds
203,Guerrero Negro,MX,27.98,-114.06,57.76,87,0,10.47,clear sky
204,Uvira,CD,-3.41,29.15,83.59,47,57,4.47,broken clouds
205,Comonfort,MX,20.72,-100.77,39.99,52,0,3.53,clear sky
206,Rocha,UY,-34.48,-54.33,72.88,76,32,10.65,scattered clouds
207,Caravelas,BR,-17.71,-39.25,82.45,65,4,1.95,clear sky
208,Mozarlandia,BR,-14.74,-50.57,77.45,80,91,4.54,overcast clouds
209,Salalah,OM,17.02,54.09,78.8,50,0,11.41,clear sky
210,Santa Barbara,US,34.73,-120.03,46.0,93,90,4.7,overcast clouds
211,Poquoson,US,37.12,-76.35,42.01,84,40,6.93,scattered clouds
212,Isangel,VU,-19.55,169.27,79.43,80,15,15.48,few clouds
213,Parati,BR,-23.22,-44.71,68.0,94,75,0.94,moderate rain
214,San Cristobal,VE,7.77,-72.22,62.04,84,39,1.97,scattered clouds
215,Narsaq,GL,60.92,-46.05,32.0,97,99,2.24,overcast clouds
216,Sao Filipe,CV,14.9,-24.5,72.93,80,100,15.23,overcast clouds
217,Jalu,LY,29.03,21.55,68.05,30,0,6.71,clear sky
218,Vung Tau,VN,10.35,107.08,77.7,81,85,9.86,overcast clouds
219,Kloulklubed,PW,7.04,134.26,78.8,88,90,5.82,overcast clouds
220,Beringovskiy,RU,63.05,179.32,20.21,97,100,26.66,snow
221,Long Beach,US,33.77,-118.19,51.8,87,90,14.18,mist
222,Blythe,US,33.61,-114.6,46.6,51,0,6.13,clear sky
223,Vardo,NO,70.37,31.11,26.6,92,75,23.04,light snow
224,Barentu,ER,15.11,37.59,91.67,17,11,6.04,few clouds
225,Darnah,LY,32.77,22.64,64.09,42,0,10.94,clear sky
226,Esperance,AU,-33.87,121.9,66.2,48,0,19.46,clear sky
227,Yenagoa,NG,4.92,6.26,93.07,48,73,1.79,broken clouds
228,Norman Wells,CA,65.28,-126.83,-7.6,83,75,3.04,broken clouds
229,Kuyanovo,RU,55.8,54.54,9.61,96,72,7.58,broken clouds
230,Tuatapere,NZ,-46.13,167.68,55.0,80,0,1.01,clear sky
231,Saint-Augustin,CA,51.23,-58.65,22.05,82,8,10.31,clear sky
232,Timra,SE,62.49,17.33,39.99,86,100,18.34,light intensity drizzle
233,Berlevag,NO,70.86,29.09,23.0,67,75,13.87,broken clouds
234,Abnub,EG,27.27,31.15,64.4,63,0,4.7,clear sky
235,Weligama,LK,5.97,80.42,80.35,83,19,6.58,light rain
236,Soyo,AO,-6.13,12.37,82.4,83,75,4.7,light rain
